"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","MA1","OC1","OD1","REM"
"04266099999","2019-01-01T00:00:00","4","60.75","-48.45","30.0","NUNARSUIT, GL","FM-12","99999","V020","040,1,N,0082,1","99999,9,9,N","999999,9,9,9","+0004,1","-0039,1","10103,1","99999,9,10064,1",,,"SYN04204266 46/// /0416 10004 21039 30064 40103="
"04266099999","2019-01-01T01:00:00","4","60.75","-48.45","30.0","NUNARSUIT, GL","FM-12","99999","V020","070,1,N,0082,1","99999,9,9,N","999999,9,9,9","+0006,1","-0054,1","10088,1","99999,9,10049,1",,,"SYN04204266 46/// /0716 10006 21054 30049 40088="
"04266099999","2019-01-01T02:00:00","4","60.75","-48.45","30.0","NUNARSUIT, GL","FM-12","99999","V020","070,1,N,0082,1","99999,9,9,N","999999,9,9,9","+0007,1","-0057,1","10074,1","99999,9,10035,1",,,"SYN04204266 46/// /0716 10007 21057 30035 40074="
"04266099999","2019-01-01T03:00:00","4","60.75","-48.45","30.0","NUNARSUIT, GL","FM-12","99999","V020","050,1,N,0098,1","99999,9,9,N","999999,9,9,9","+0013,1","-0041,1","10050,1","99999,9,10011,1",,,"SYN04204266 46/// /0519 10013 21041 30011 40050="
"04266099999","2019-01-01T04:00:00","4","60.75","-48.45","30.0","NUNARSUIT, GL","FM-12","99999","V020","060,1,N,0103,1","99999,9,9,N","999999,9,9,9","+0018,1","-0047,1","10029,1","99999,9,09991,1",,,"SYN04204266 46/// /0620 10018 21047 39991 40029="
"04266099999","2019-01-01T05:00:00","4","60.75","-48.45","30.0","NUNARSUIT, GL","FM-12","99999","V020","070,1,N,0149,1","99999,9,9,N","999999,9,9,9","+0008,1","-0023,1","10017,1","99999,9,09979,1",,,"SYN04204266 46/// /0729 10008 21023 39979 40017="
"04266099999","2019-01-01T06:00:00","4","60.75","-48.45","30.0","NUNARSUIT, GL","FM-12","99999","V020","050,1,N,0139,1","99999,9,9,N","999999,9,9,9","+0006,1","-0016,1","09999,1","99999,9,09961,1",,,"SYN04204266 46/// /0527 10006 21016 39961 49999="
"04266099999","2019-01-01T07:00:00","4","60.75","-48.45","30.0","NUNARSUIT, GL","FM-12","99999","V020","040,1,N,0139,1","99999,9,9,N","999999,9,9,9","+0018,1","-0037,1","09982,1","99999,9,09944,1",,,"SYN04204266 46/// /0427 10018 21037 39944 49982="
"04266099999","2019-01-01T08:00:00","4","60.75","-48.45","30.0","NUNARSUIT, GL","FM-12","99999","V020","350,1,N,0077,1","99999,9,9,N","999999,9,9,9","+0012,1","-0017,1","09968,1","99999,9,09930,1",,,"SYN04204266 46/// /3515 10012 21017 39930 49968="
"04266099999","2019-01-01T09:00:00","4","60.75","-48.45","30.0","NUNARSUIT, GL","FM-12","99999","V020","050,1,N,0082,1","99999,9,9,N","999999,9,9,9","+0025,1","-0040,1","09952,1","99999,9,09914,1",,,"SYN04204266 46/// /0516 10025 21040 39914 49952="
"04266099999","2019-01-01T10:00:00","4","60.75","-48.45","30.0","NUNARSUIT, GL","FM-12","99999","V020","050,1,N,0072,1","99999,9,9,N","999999,9,9,9","+0032,1","-0045,1","09944,1","99999,9,09906,1",,,"SYN04204266 46/// /0514 10032 21045 39906 49944="
"04266099999","2019-01-01T11:00:00","4","60.75","-48.45","30.0","NUNARSUIT, GL","FM-12","99999","V020","050,1,N,0082,1","99999,9,9,N","999999,9,9,9","+0032,1","-0040,1","09931,1","99999,9,09893,1",,,"SYN04204266 46/// /0516 10032 21040 39893 49931="
"04266099999","2019-01-01T12:00:00","4","60.75","-48.45","30.0","NUNARSUIT, GL","FM-12","99999","V020","050,1,N,0057,1","99999,9,9,N","999999,9,9,9","+0040,1","-0055,1","09927,1","99999,9,09889,1",,,"SYN04204266 46/// /0511 10040 21055 39889 49927="
"04266099999","2019-01-01T13:00:00","4","60.75","-48.45","30.0","NUNARSUIT, GL","FM-12","99999","V020","050,1,N,0093,1","99999,9,9,N","999999,9,9,9","+0036,1","-0041,1","09913,1","99999,9,09875,1",,,"SYN04204266 46/// /0518 10036 21041 39875 49913="
"04266099999","2019-01-01T14:00:00","4","60.75","-48.45","30.0","NUNARSUIT, GL","FM-12","99999","V020","060,1,N,0108,1","99999,9,9,N","999999,9,9,9","+0037,1","-0040,1","09904,1","99999,9,09866,1",,,"SYN04204266 46/// /0621 10037 21040 39866 49904="
"04266099999","2019-01-01T15:00:00","4","60.75","-48.45","30.0","NUNARSUIT, GL","FM-12","99999","V020","060,1,N,0113,1","99999,9,9,N","999999,9,9,9","+0037,1","-0040,1","09890,1","99999,9,09852,1",,,"SYN04204266 46/// /0622 10037 21040 39852 49890="
"04266099999","2019-01-01T16:00:00","4","60.75","-48.45","30.0","NUNARSUIT, GL","FM-12","99999","V020","070,1,N,0118,1","99999,9,9,N","999999,9,9,9","+0039,1","-0041,1","09879,1","99999,9,09841,1",,,"SYN04204266 46/// /0723 10039 21041 39841 49879="
"04266099999","2019-01-01T17:00:00","4","60.75","-48.45","30.0","NUNARSUIT, GL","FM-12","99999","V020","070,1,N,0093,1","99999,9,9,N","999999,9,9,9","+0040,1","-0035,1","09876,1","99999,9,09838,1",,,"SYN04204266 46/// /0718 10040 21035 39838 49876="
"04266099999","2019-01-01T18:00:00","4","60.75","-48.45","30.0","NUNARSUIT, GL","FM-12","99999","V020","100,1,N,0046,1","99999,9,9,N","999999,9,9,9","+0044,1","-0039,1","09880,1","99999,9,09842,1",,,"SYN04204266 46/// /1009 10044 21039 39842 49880="
"04266099999","2019-01-01T19:00:00","4","60.75","-48.45","30.0","NUNARSUIT, GL","FM-12","99999","V020","140,1,N,0036,1","99999,9,9,N","999999,9,9,9","+0030,1","-0021,1","09877,1","99999,9,09839,1",,,"SYN04204266 46/// /1407 10030 21021 39839 49877="
"04266099999","2019-01-01T20:00:00","4","60.75","-48.45","30.0","NUNARSUIT, GL","FM-12","99999","V020","140,1,N,0041,1","99999,9,9,N","999999,9,9,9","+0031,1","-0024,1","09877,1","99999,9,09839,1",,,"SYN04204266 46/// /1408 10031 21024 39839 49877="
"04266099999","2019-01-01T21:00:00","4","60.75","-48.45","30.0","NUNARSUIT, GL","FM-12","99999","V020","110,1,N,0046,1","99999,9,9,N","999999,9,9,9","+0022,1","-0007,1","09880,1","99999,9,09842,1",,,"SYN04204266 46/// /1109 10022 21007 39842 49880="
"04266099999","2019-01-01T22:00:00","4","60.75","-48.45","30.0","NUNARSUIT, GL","FM-12","99999","V020","110,1,N,0093,1","99999,9,9,N","999999,9,9,9","+0019,1","+0003,1","09877,1","99999,9,09839,1",,,"SYN04204266 46/// /1118 10019 20003 39839 49877="
"04266099999","2019-01-01T23:00:00","4","60.75","-48.45","30.0","NUNARSUIT, GL","FM-12","99999","V020","110,1,N,0103,1","99999,9,9,N","999999,9,9,9","+0012,1","+0003,1","09877,1","99999,9,09839,1",,,"SYN04204266 46/// /1120 10012 20003 39839 49877="
"04266099999","2019-01-02T00:00:00","4","60.75","-48.45","30.0","NUNARSUIT, GL","FM-12","99999","V020","090,1,N,0149,1","99999,9,9,N","999999,9,9,9","+0016,1","+0004,1","09872,1","99999,9,09834,1",,"4,99,0211,1,999","SYN05204266 46/// /0929 10016 20004 39834 49872 333 91041="
"04266099999","2019-01-02T01:00:00","4","60.75","-48.45","30.0","NUNARSUIT, GL","FM-12","99999","V020","090,1,N,0160,1","99999,9,9,N","999999,9,9,9","+0017,1","+0007,1","09871,1","99999,9,09833,1",,"4,99,0242,1,999","SYN05204266 46/// /0931 10017 20007 39833 49871 333 91047="
"04266099999","2019-01-02T02:00:00","4","60.75","-48.45","30.0","NUNARSUIT, GL","FM-12","99999","V020","160,1,N,0170,1","99999,9,9,N","999999,9,9,9","+0023,1","-0003,1","09876,1","99999,9,09838,1",,,"SYN04204266 46/// /1633 10023 21003 39838 49876="
"04266099999","2019-01-02T03:00:00","4","60.75","-48.45","30.0","NUNARSUIT, GL","FM-12","99999","V020","160,1,N,0170,1","99999,9,9,N","999999,9,9,9","+0020,1","+0004,1","09892,1","99999,9,09854,1",,,"SYN04204266 46/// /1633 10020 20004 39854 49892="
"04266099999","2019-01-02T04:00:00","4","60.75","-48.45","30.0","NUNARSUIT, GL","FM-12","99999","V020","210,1,N,0201,1","99999,9,9,N","999999,9,9,9","+0010,1","+0003,1","09923,1","99999,9,09885,1",,,"SYN04204266 46/// /2139 10010 20003 39885 49923="
"04266099999","2019-01-02T05:00:00","4","60.75","-48.45","30.0","NUNARSUIT, GL","FM-12","99999","V020","230,1,N,0185,1","99999,9,9,N","999999,9,9,9","+0008,1","-0010,1","09966,1","99999,9,09928,1",,,"SYN04204266 46/// /2336 10008 21010 39928 49966="
"04266099999","2019-01-02T06:00:00","4","60.75","-48.45","30.0","NUNARSUIT, GL","FM-12","99999","V020","230,1,N,0154,1","99999,9,9,N","999999,9,9,9","+0014,1","-0029,1","09993,1","99999,9,09955,1",,,"SYN04204266 46/// /2330 10014 21029 39955 49993="
"04266099999","2019-01-02T07:00:00","4","60.75","-48.45","30.0","NUNARSUIT, GL","FM-12","99999","V020","230,1,N,0134,1","99999,9,9,N","999999,9,9,9","+0013,1","-0045,1","10013,1","99999,9,09975,1",,,"SYN04204266 46/// /2326 10013 21045 39975 40013="
"04266099999","2019-01-02T08:00:00","4","60.75","-48.45","30.0","NUNARSUIT, GL","FM-12","99999","V020","230,1,N,0118,1","99999,9,9,N","999999,9,9,9","+0010,1","-0059,1","10028,1","99999,9,09990,1",,,"SYN04204266 46/// /2323 10010 21059 39990 40028="
"04266099999","2019-01-02T09:00:00","4","60.75","-48.45","30.0","NUNARSUIT, GL","FM-12","99999","V020","230,1,N,0098,1","99999,9,9,N","999999,9,9,9","+0008,1","-0052,1","10035,1","99999,9,09997,1",,,"SYN04204266 46/// /2319 10008 21052 39997 40035="
"04266099999","2019-01-02T10:00:00","4","60.75","-48.45","30.0","NUNARSUIT, GL","FM-12","99999","V020","240,1,N,0072,1","99999,9,9,N","999999,9,9,9","+0003,1","-0034,1","10046,1","99999,9,10007,1",,,"SYN04204266 46/// /2414 10003 21034 30007 40046="
"04266099999","2019-01-02T11:00:00","4","60.75","-48.45","30.0","NUNARSUIT, GL","FM-12","99999","V020","230,1,N,0057,1","99999,9,9,N","999999,9,9,9","-0009,1","-0026,1","10051,1","99999,9,10012,1",,,"SYN04204266 46/// /2311 11009 21026 30012 40051="
"04266099999","2019-01-02T12:00:00","4","60.75","-48.45","30.0","NUNARSUIT, GL","FM-12","99999","V020","260,1,N,0051,1","99999,9,9,N","999999,9,9,9","-0012,1","-0025,1","10054,1","99999,9,10015,1",,,"SYN04204266 46/// /2610 11012 21025 30015 40054="
"04266099999","2019-01-02T13:00:00","4","60.75","-48.45","30.0","NUNARSUIT, GL","FM-12","99999","V020","230,1,N,0026,1","99999,9,9,N","999999,9,9,9","-0019,1","-0024,1","10058,1","99999,9,10019,1",,,"SYN04204266 46/// /2305 11019 21024 30019 40058="
"04266099999","2019-01-02T14:00:00","4","60.75","-48.45","30.0","NUNARSUIT, GL","FM-12","99999","V020","270,1,N,0036,1","99999,9,9,N","999999,9,9,9","-0016,1","-0020,1","10052,1","99999,9,10013,1",,,"SYN04204266 46/// /2707 11016 21020 30013 40052="
"04266099999","2019-01-02T15:00:00","4","60.75","-48.45","30.0","NUNARSUIT, GL","FM-12","99999","V020","280,1,N,0026,1","99999,9,9,N","999999,9,9,9","-0018,1","-0025,1","10042,1","99999,9,10004,1",,,"SYN04204266 46/// /2805 11018 21025 30004 40042="
"04266099999","2019-01-02T16:00:00","4","60.75","-48.45","30.0","NUNARSUIT, GL","FM-12","99999","V020","250,1,N,0046,1","99999,9,9,N","999999,9,9,9","-0011,1","-0024,1","10035,1","99999,9,09997,1",,,"SYN04204266 46/// /2509 11011 21024 39997 40035="
"04266099999","2019-01-02T17:00:00","4","60.75","-48.45","30.0","NUNARSUIT, GL","FM-12","99999","V020","330,1,N,0046,1","99999,9,9,N","999999,9,9,9","-0012,1","-0020,1","10026,1","99999,9,09988,1",,,"SYN04204266 46/// /3309 11012 21020 39988 40026="
"04266099999","2019-01-02T18:00:00","4","60.75","-48.45","30.0","NUNARSUIT, GL","FM-12","99999","V020","330,1,N,0077,1","99999,9,9,N","999999,9,9,9","-0015,1","-0029,1","10017,1","99999,9,09979,1",,,"SYN04204266 46/// /3315 11015 21029 39979 40017="
"04266099999","2019-01-02T19:00:00","4","60.75","-48.45","30.0","NUNARSUIT, GL","FM-12","99999","V020","330,1,N,0067,1","99999,9,9,N","999999,9,9,9","-0012,1","-0031,1","10013,1","99999,9,09975,1",,,"SYN04204266 46/// /3313 11012 21031 39975 40013="
"04266099999","2019-01-02T20:00:00","4","60.75","-48.45","30.0","NUNARSUIT, GL","FM-12","99999","V020","330,1,N,0082,1","99999,9,9,N","999999,9,9,9","-0011,1","-0038,1","10007,1","99999,9,09969,1",,,"SYN04204266 46/// /3316 11011 21038 39969 40007="
"04266099999","2019-01-02T21:00:00","4","60.75","-48.45","30.0","NUNARSUIT, GL","FM-12","99999","V020","320,1,N,0082,1","99999,9,9,N","999999,9,9,9","-0011,1","-0034,1","09998,1","99999,9,09960,1",,,"SYN04204266 46/// /3216 11011 21034 39960 49998="
"04266099999","2019-01-02T22:00:00","4","60.75","-48.45","30.0","NUNARSUIT, GL","FM-12","99999","V020","310,1,N,0093,1","99999,9,9,N","999999,9,9,9","-0011,1","-0031,1","09994,1","99999,9,09956,1",,,"SYN04204266 46/// /3118 11011 21031 39956 49994="
"04266099999","2019-01-02T23:00:00","4","60.75","-48.45","30.0","NUNARSUIT, GL","FM-12","99999","V020","320,1,N,0088,1","99999,9,9,N","999999,9,9,9","-0010,1","-0035,1","09988,1","99999,9,09950,1",,,"SYN04204266 46/// /3217 11010 21035 39950 49988="
